Asset id,Title,Filename,Description,Business Unit,generate_with_ai,Alt Text,Asset Type,Asset Sub-Type,Asset Product-Type,Channel,Product Type,PDP Asset Type,Product Category,Product Sub-Category,Product Sub-Sub Category,Locale,SKU,Department,Year,File Type,Tags,Watermark,Watermark Date,Public,Archive,Archive Date,Downloadable,Limited,Limited Date,Created By,Creation Date,Published Date,Modified By,Modified Date,Copyright,File Size
5B032655-18E4-49FC-847182B34935ACBF,LG Ref 3 Types Of Ice with Mini Craft Ice Infographic_5000x5000,LG Ref 3 Types Of Ice with Mini Craft Ice Infographic_5000x5000.jpg,,DXP,Yes,LG Refrigerator 3 Types Of Ice with Mini Craft Ice Infographic Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61EA7E92-87B6-4651-9E87E385C44DE62A,LG_TV_2025_USP_Card_webOS_3.18,LG_TV_2025_USP_Card_webOS_3.18.jpg,.,DXP,Yes,LG webOS smart TV platform with Technology & Engineering EMMYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6C919840-FAE1-4D3A-84DA5ECBA4A90336,HA_Front-Load-Washer_right-for-you_gallery_1600x1062,HA_Front-Load-Washer_right-for-you_gallery_1600x1062.jpg,,DXP,Yes,LG Front Load Washer Models with Specs and Features Displayed Front View,Photos,Product ,Gallery,LG.com,Appliances,Product,Washers & Dryers,Washers,Front Load,en_US,,CMS,,jpg,Front Load Washer,,,,,,,,,,,,,,,
6CE7F549-E0EF-4BCA-A52C09A0BACD9A4A,2 support viren,2 support-1.png,.,DXP,Yes,55-inch LG 4K OLED TV displaying colorful abstract art on screen Front View,Photos,Product ,Gallery,LG University,,Product,,,,en_US,,,,png,,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Brindha Devadoss,1/22/2026 20:56,1/22/2026 20:56,Brindha Devadoss,1/22/2026 20:59,,391571
6D1F9C9F-0D90-4427-8EB86FAA57F1EC98,CordZero Cordless Stick Vacuum Lineup_Exclusive_5000x5000,CordZero Cordless Stick Vacuum Lineup_Exclusive_5000x5000.jpg,.,DXP,Yes,LG CordZero C5323B0 Cordless Stick Vacuum with Wall-Mount Charging Dock Front View ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG CordZero C5323GW Cordless Stick Vacuum with Wall-Mount Charging Dock and LED Crevice Tool Front View ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG CordZero A931KWM Cordless Stick Vacuum with All-in-One Tower and Auto Empty Front View ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG CordZero A949KTMS Cordless Stick Vacuum with All-in-One Tower and Auto Empty and Power Mop Pro Front View""",Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6E443A93-D739-47A7-9C3BEB521A908BEB,output.auto,output.auto-1.jpg,.,DXP,Yes,LG is ranked #1 in Customer Satisfaction by J.D. Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733F0D9E-399F-4230-8C4016A6CB91DC84,stanbyme2-27lx6t-2025-06-feature-mood-maker-d,stanbyme2-27lx6t-2025-06-feature-mood-maker-d.jpg,,DXP,Yes,LG StanbyME2 27LX6T Lifestyle Setup with Inspirational Sign and Furniture Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76BB5E29-F391-4E21-940894C7675C8EC4,C7325LC_2025_Lifestyle_Image_Vacuum_Wall-Mount Charging Dock (1),C7325LC_2025_Lifestyle_Image_Vacuum_Wall-Mount Charging Dock (1)-1.jpg,.,DXP,Yes,LG Cordless Vacuum Wall-Mount Charging Dock Lifestyle Setup Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7BF4B97D-C5BB-4864-B6EE1D36861D6197,LG_So_Much_More_More_From_Your_Kitchen_2025_Lifestyle_Image_Dishwasher_Talent,LG_So_Much_More_More_From_Your_Kitchen_2025_Lifestyle_Image_Dishwasher_Talent.jpg,.,DXP,Yes,LG Dishwasher in modern kitchen with man opening door Lifestyle Kitchen Setup,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809E9CD8-AD74-41FA-A473C7349E407992,SC5GMR80H_2025_Lifestyle_Image_LG Styler_Living Room 1,SC5GMR80H_2025_Lifestyle_Image_LG Styler_Living Room 1.jpg,.,DXP,Yes,LG Styler SC5GMR80H in living room with modern furniture and decor Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826CACBE-D43B-4084-B52F448BB47498EF,15Z80T-H.AUB4U1_0,15Z80T-H.AUB4U1_0.jpg,.,DXP,Yes,LG Gram laptop with woman using it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845791F0-32C0-4372-9CCF680617E83450,sound-suite-immersive-quad-suite-7-2026-feature-d-01,sound-suite-immersive-quad-suite-7-2026-feature-d-01.jpg,.,DXP,Yes,LG Sound Suite AI Immersive Quad Suite 7 lifestyle setup with TV and speakers Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884C456A-00A0-47E5-980BA0519CCFD404,Refrigerator_LRYKC2606S_lg-largest-badge_gallery_01_5000x5000,Refrigerator_LRYKC2606S_lg-largest-badge_gallery_01_5000x5000.jpg,,DXP,Yes,LG LRYKC2606S Refrigerator with LG's Largest Capacity Counter-Depth Fridge in its Class badge and America's Most Reliable line of appliances badge Front View,Photos,Product ,Gallery,LG.com,Appliances,Product,Refrigerators,,,en_US,[LRYKC2606S] MD08003611,CMS,,jpg,Reliability,,,,,,,,,,,,,,,
8A1EAF93-F494-47DB-B4799EC6E036929C,Kitchen-Package_LRYKC2606S_LREN6325XE_MVEL2033F_LDFN4542S_gallery_01_5000x5000,Kitchen-Package_LRYKC2606S_LREN6325XE_MVEL2033F_LDFN4542S_gallery_01_5000x5000.jpg,,DXP,Yes,LG Kitchen Package with Refrigerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8CE6C65E-3B73-486D-AB1DDC1F0373705E,oled T ,oled T -1.jpg,Oled Transparent TV,DXP,Yes,LG SIGNATURE OLED T World's No. 1 OLED TV for 12 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9240CD8C-CFB4-4540-B0AFE1A723C0041E,OLED83G5_2025_Product_Image_Front_12Year_Logo,OLED83G5_2025_Product_Image_Front_12Year_Logo.jpg,.,DXP,Yes,LG OLED evo AI TV with 5 year limited panel warranty and World's No. 1 OLED TV for 12 years badge Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93B5B8E1-906B-44A9-A76A444B5F046987,image (37),image (37).png,,DXP,Yes,LG smartphone screen mirroring to TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9570B66E-276A-471C-AB78D7F05DA594E3,image.png,ChatGPT Image Jan 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980C95ED-FA60-417B-885FCC15562343B8,output.auto,output.auto-2.jpg,,DXP,Yes,To Be Generated By AI,Photos,Product ,Gallery,LG.com,,Product,,,,en_US,,,,jpg,,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Brindha Devadoss,1/16/2026 18:50,1/16/2026 18:49,Brindha Devadoss,1/16/2026 18:50,,282319
99F428A4-EAF7-4AC0-9761D98D41631551,vaccum C7325LC infographic,vaccum C7325LC infographic.png,.,DXP,Yes,LG vaccum C7325LC infographic showing 5-step filtration system with 30 cyclones for lasting suction power Front View,Photos,Product ,Gallery,LG.com,,Product,,,,en_US,,,,png,,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Brindha Devadoss,1/27/2026 22:07,1/27/2026 22:07,Brindha Devadoss,1/27/2026 22:09,,1500367
9CD2C5DE-06CE-4C4F-BCD02C8264584160,sound-suite-immersive-quad-suite-7-2026-gallery-gallery-01,sound-suite-immersive-quad-suite-7-2026-gallery-gallery-01.jpg,.,DXP,Yes,LG soundbar system with subwoofer and surround sound speakers Front View,Photos,Product ,Gallery,LG.com,Audio,Product,,,,en_US,,CMS,,jpg,test alt text,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Grace Rhee,1/19/2026 20:47,1/19/2026 20:47,Brindha Devadoss,1/19/2026 21:01,,320267
A8D2CAE7-C767-4268-8CF2C59BF763B4B7,TV_OLED83G5WUA_alpha-ai-processor_gallery_05_3000x3000,TV_OLED83G5WUA_alpha-ai-processor_gallery_05_3000x3000.png,,DXP,Yes,LG alpha 11 4K AI Processor with specs for NPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA01AB81-15F5-4748-A70B71221E4BDE69,16Z90S-H.ADB9U1_4,16Z90S-H.ADB9U1_4.jpg,,DXP,Yes,LG gram 16 laptop with Intel Core Ultra 7 Processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABD4DB77-5F73-4D34-BF77A585D5FD2988,Refrigerator_jd-power-awards_gallery_5000x5000,Refrigerator_jd-power-awards_gallery_5000x5000.jpg,.,DXP,Yes,LG French Door Refrigerators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE63A1E0-DF81-4687-937D1ED360B96C70,s21 u box,s21 u box.jpg,v2,DXP,Yes,Galaxy S21 Ultra 5G box packaging Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0F7CB6A-2775-43C5-B27346A42984E8C3,LG Vac C7325LC 5-Step Filtration System Infographic_5000x5000,LG Vac C7325LC 5-Step Filtration System Infographic_5000x5000.jpg,Vaccum,DXP,Yes,LG Vac C7325LC 5-step filtration system with 30 cyclones for lasting suction power Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B49A5F3A-8B5B-4A22-881709349968B12A,2 support,2 support-2.png,jeff test,DXP,Yes,55-inch LG 4K OLED TV displaying colorful abstract art on screen Front View,Photos,Product ,Gallery,LG.com,IT Products,Product,Projectors,,,en_US,,,,png,,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Jeff Huang,1/22/2026 20:10,1/22/2026 20:10,Brindha Devadoss,1/22/2026 20:41,,391571
B7BAD290-0526-4015-9F61AFDA6FF36DBF,25-ProductPosition-H7-USP,25-ProductPosition-H7-USP.jpg,.,DXP,Yes,LG H7 Soundbar with Dolby Atmos FlexConnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B913EB28-3269-4C9D-9AD375EDBF32F5B1,stanbyme2-27lx6t,stanbyme2-27lx6t.jpg,,DXP,Yes,LG StanbyMe2 27LX6T Lifestyle Family Entertainment Setup Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C288E282-EEE3-483C-B88092EFC31ABDD1,Refrigerator_jd-power-awards_gallery_5000x5000,Refrigerator_jd-power-awards_gallery_5000x5000-1.jpg,,DXP,Yes,LG French Door Refrigerators ranked #1 in Customer Satisfaction by J.D. Power *Data is based on the first 12 months of ownership. For J.D. Power 2025 award information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2D05541-3177-42F3-B141E77A7A31273B,SC5GMR80H Main Product Page Visual_5000x5000 - 2,SC5GMR80H Main Product Page Visual_5000x5000 - 2.png,Styler,DXP,Yes,LG Styler SC5GMR80H with clothes hanging inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C32EF5AE-84C5-40CD-97B5876D9A260E7D,WM5800HAA_DLEX5800A_DLGX5801A_2025_Lifestyle_Image_Laundry_Controls,WM5800HAA_DLEX5800A_DLGX5801A_2025_Lifestyle_Image_Laundry_Controls.jpg,.,DXP,Yes,LG WM5800HAA and DLEX5800A laundry set with stacked laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4B08A4F-1E94-4BCE-A2C2E754C9226332,xboom-grab-2025-gallery-12,xboom-grab-2025-gallery-12.jpg,.,DXP,Yes,LG xboom portable speaker with black finish and red logo Side View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7FA4FC3-83AC-49BC-A04B76C479AE039C,SC5GMR80H LG Styler Plug and Go Design_900x600,SC5GMR80H LG Styler Plug and Go Design_900x600.jpg,,DXP,Yes,LG Styler Plug and Go Design with man plugging in power cord Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8A37B55-68D0-4A1F-AFF68C35010CAD15,s21 u box,s21 u box-1.jpg,,DXP,Yes,To Be Generated By AI,Photos,Product ,Gallery,LG.com,,Product,,,,en_US,,,,jpg,,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Jeff Huang,1/22/2026 19:10,9/9/2025 16:50,Jeff Huang,1/22/2026 19:11,,1125911
C9A1994B-D320-4627-B1385D3E902866DE,TVs_OLED77G5WUA_gallery_01_3000x3000,TVs_OLED77G5WUA_gallery_01_3000x3000.jpg,,DXP,Yes,LG OLED evo AI 77-inch 4K TV with vibrant abstract design and warranty badges Front View,Photos,Product ,Gallery,LG.com,TV & Home Theater,Product,TVs,OLED TVs,,en_US,[OLED77G5WUA] MD19000969,CMS,,jpg,lg oled evo,,,,,,,,,,,,,,,
CD998C9A-2C8F-4AF9-BB2558D552AB29C1,Vacuum-C5323GW-infographic-gallery-01_1600x1062,Vacuum-C5323GW-infographic-gallery-01_1600x1062.jpg,.,DXP,Yes,"LG Vacuum C5323GW infographic showing powerful motor and airflow features with text ""Perfect power for routine cleaning"" Close-Up",Photos,Product ,Gallery,LG.com,Appliances,Product,Vacuums,,,en_US,[C5323GW] MD19001102,CMS,,jpg,Stick Vacuums,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Grace Rhee,1/7/2026 23:09,7/9/2025 14:49,Grace Rhee,1/13/2026 20:08,,16004578
CDF97AAC-FFA8-4793-B97BF7B16EF11167,SC5GMR80H Main Product Page Visual_5000x5000,SC5GMR80H Main Product Page Visual_5000x5000.jpg,.,DXP,Yes,LG Stylo 5000 Series Washer with Closet Interior View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2025BF9-7460-45DB-8885691C694384F7,Vacuum Infographic,LG-Vac-C7325LC-5-Step-Filtration-System-Infographic_5000x5000 - 2.png,,DXP,Yes,LG Vacuum Infographic showing 5-step filtration system with 30 cyclones Front View,Photos,Product ,Gallery,LG.com,,Product,,,,en_US,,,,png,,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Brindha Devadoss,1/27/2026 21:10,1/27/2026 21:10,Brindha Devadoss,1/27/2026 22:06,,1537014
D4744C03-FBD4-41C9-AB332812E1C4EC15,Refrigerator_jd-power-awards_gallery_5000x5000,Refrigerator_jd-power-awards_gallery_5000x5000-2.jpg,.,DXP,Yes,LG French Door Refrigerators ranked #1 in Customer Satisfaction by J.D. Power *Data is based on the first 12 months of ownership. For J.D. Power 2025 award information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D654D8BD-F7BB-4DCF-98828A68F7F8A775,2025-HA-Purchase-This-French-Door-Minicard_768x433,2025-HA-Purchase-This-French-Door-Minicard_768x433.png,.,DXP,Yes,To Be Generated By AI,Photos,Product ,,LG.com,Appliances,,,,,en_US,,,,png,French Door Refrigerator,,,,,,,,,,,,,,,
D6ED9058-4E0C-47F5-AC4B77C9E182A170,OLED_G5_2025_Lifestyle_Image_Output_cut7,OLED_G5_2025_Lifestyle_Image_Output_cut7.jpg,.,DXP,Yes,55-inch LG OLED G5 2025 4K TV displaying musicians playing instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D92B9512-1DB2-4D7B-8554027AE50FEAAC,25-Acoustic Peerless-M7-USP,25-Acoustic Peerless-M7-USP.jpg,.,DXP,Yes,LG Sound Suite M7 speaker with Peerless drivers and components Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9BB42B3-5C93-4610-92CBA6FD8FBF2947,LG Dish Adjustable 3rd Rack Infographic_5000x5000,LG Dish Adjustable 3rd Rack Infographic_5000x5000.jpg,,DXP,Yes,LG Dishwasher adjustable 3rd rack with utensils and glasses Interior View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCCAC2FC-98AA-49B0-940413F6121E3693,Refrigerator-accessories_U95AET1_lg-accessory_features_900x600,Refrigerator-accessories_U95AET1_lg-accessory_features_900x600.jpeg,,DXP,Yes,LG Refrigerator Open Interior with Shelves and Fresh Food Storage Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD286B83-4CF5-4FA9-BD6556CBFFCFE07A,C7325LC Flexible Charging Options Lifestyle_900x600,C7325LC Flexible Charging Options Lifestyle_900x600.gif,.,DXP,Yes,LG Washer and Dryer Stacked Lifestyle Laundry Room Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0F4A38F-6B78-454C-968FBA7784312C7E,WM5800HVA Laundry Dimensional Image_1600x1062,WM5800HVA Laundry Dimensional Image_1600x1062.jpg,.,DXP,Yes,"LG WM5800HVA Front Load Washer dimensions: 27"" W x 57 3/4"" D x 39.5"" H Front Load Washer Dimensions",Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
